team,season,ufga,ufgm,pts_off_tov,pts_paint,ufgp,Wins,Losses,FGM,FGA,FG%,2pm,2pa,2p%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB_x,REB,AST,TOV,STL_x,BLK_x,BLKA,PF,PFD,+/-,GP_x,W_x,L_x,MIN_x,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RAT,OREB%,DREB%_x,REB%,TOV%,EFG%,TS%,PACE,PIE,GP_y,W_y,L_y,MIN_y,DEFåÊRTG,DREB_y,DREB%_y,STL_y,BLK_y,OPPåÊPTS OFFåÊTOV,OPPåÊPTS 2NDåÊCHANCE,OPPåÊPTS FB,OPPåÊPTS PAINT
76ers,2014,11856,4616,6202,13532,0.3893387314439946,18,64,2765,6777,40.8,2073,4617,0.44899285299999997,692,2160,32.0,1320,1953,67.6,978,2536,3514,1683,1453,789,487,454,1778,1657,-736,28,14,14,1364,104.2,104.2,0.0,65.7,1.48,18.5,26.4,78.3,53.1,17.1,51.8,55.3,103.13,51.3,82,18,64,3961,102,2536,73.0,789,487,1687,1144,1200,3420
76ers,2015,12640,5200,7514,18092,0.41139240506329117,10,72,2970,6887,43.1,2206,4632,0.476252159,764,2255,33.9,1284,1850,69.4,777,2605,3382,1765,1343,680,495,466,1780,1571,-839,82,10,72,3961,96.6,106.7,-10.0,59.4,1.31,16.3,20.6,74.0,46.4,16.2,48.7,51.9,100.23,42.8,82,10,72,3961,107,2605,74.0,680,495,1639,1207,1370,3736
76ers,2016,1564,628,626,1520,0.40153452685422,28,54,3088,6992,44.2,2257,4549,0.49615300100000004,831,2443,34.0,1393,1806,77.1,807,2706,3513,1949,1366,692,420,446,1793,1610,-467,82,28,54,3966,100.7,106.4,-5.7,63.1,1.43,17.6,22.4,75.3,48.8,16.4,50.1,53.9,100.96,47.0,82,28,54,3966,106,2706,75.3,692,420,1517,1106,1256,3698
Bucks,2014,13048,5828,6326,14388,0.4466584917228694,41,41,3083,6722,45.9,2538,5222,0.48602068200000004,545,1500,36.3,1312,1734,75.7,876,2574,3450,1932,1373,789,403,392,1814,1649,35,27,15,12,1301,107.2,106.5,0.8,56.9,1.67,17.5,18.8,76.3,47.3,13.7,53.4,56.9,97.37,50.3,82,41,41,3986,99,2574,73.3,789,403,1374,1092,877,3262
Bucks,2015,9676,4340,5922,15476,0.4485324514262092,33,49,3145,6740,46.7,2705,5463,0.495149185,440,1277,34.5,1391,1859,74.8,858,2559,3417,1895,1247,672,475,462,1695,1600,-343,82,33,49,3966,102.2,105.7,-3.5,60.3,1.52,17.7,24.9,73.1,49.2,15.7,49.9,53.7,96.55,48.3,82,33,49,3966,106,2559,73.1,672,475,1453,1153,1068,3606
Bucks,2016,1288,524,660,1644,0.40683229813664595,42,40,3182,6715,47.4,2462,4769,0.516250786,720,1946,37.0,1413,1839,76.8,723,2589,3312,1984,1145,666,436,375,1660,1579,-15,82,42,40,3956,106.9,106.4,0.5,62.4,1.73,18.6,21.5,75.4,48.8,14.4,52.7,56.5,96.73,50.4,82,42,40,3956,106,2589,75.4,666,436,1331,1040,961,3580
Bulls,2014,14188,6068,5732,15736,0.4276853679165492,50,32,3001,6797,44.2,2356,4972,0.47385358,645,1825,35.3,1618,2067,78.3,959,2792,3751,1781,1145,514,476,443,1495,1736,246,28,8,20,1354,98.3,107.1,-8.8,59.5,1.6,16.9,20.2,81.2,49.3,14.0,48.6,51.4,98.63,44.3,82,50,32,3976,102,2792,74.4,514,476,1258,1079,1065,3344
Bulls,2015,13356,5840,6488,17716,0.43725666367175803,42,40,3165,7170,44.1,2514,5417,0.46409451700000004,651,1753,37.1,1354,1720,78.7,907,2889,3796,1870,1141,495,470,465,1545,1535,-121,82,42,40,3981,102.1,103.9,-1.8,59.1,1.64,17.1,24.5,74.9,50.2,14.0,48.7,52.6,98.25,49.4,82,42,40,3981,104,2889,74.9,495,470,1314,1169,1128,3642
Bulls,2016,1476,640,670,1800,0.43360433604336046,41,41,3169,7141,44.4,2546,5310,0.47947269299999995,623,1831,34.0,1474,1848,79.8,999,2797,3796,1851,1112,643,393,378,1455,1541,35,82,41,41,3956,104.6,104.5,0.1,58.4,1.66,17.0,27.0,76.8,51.7,13.8,48.7,53.0,97.72,50.4,82,41,41,3956,105,2797,76.8,643,393,1267,977,1125,3710
Cavaliers,2014,15680,6772,6624,17432,0.4318877551020408,53,29,3089,6739,45.8,2263,4486,0.504458315,826,2253,36.7,1453,1934,75.1,911,2612,3523,1814,1171,603,340,368,1510,1685,367,29,21,8,1397,111.4,107.9,3.5,59.1,1.6,18.0,20.1,76.4,49.4,14.9,55.8,59.7,99.47,52.0,82,53,29,3956,104,2612,74.7,603,340,1329,1017,970,3502
