ast_pct,ast_ratio,ast_tov,def_rating,dreb_pct,efg_pct,game_id,min,off_rating,opponent_id,oreb_pct,pace,period,pie,season,team_id,tm_tov_pct,treb_pct,ts_pct,usg_pct,team
0.65,19.6,1.37,110.6,0.667,0.581,21400008,240:00:00,105.7,1610612761,0.238,97.5,f,0.453,2014,1610612737,19.7,0,0.583,0.196,Hawks
0.743,21.2,2,94.6,0.756,0.558,21400032,240:00:00,109.1,1610612754,0.083,95.38,f,0.606,2014,1610612737,13.9,0,0.611,0.198,Hawks
0.684,19,1.86,98.2,0.711,0.457,21400064,240:00:00,91.2,1610612759,0.204,98.28,f,0.439,2014,1610612737,13.9,0,0.475,0.198,Hawks
0.615,17.3,1.41,100,0.744,0.523,21400071,265:00:00,102.4,1610612766,0.159,98.46,f,0.458,2014,1610612737,15.8,0,0.564,0.2,Hawks
0.545,14.5,2,105.7,0.69,0.463,21400084,240:00:00,109.8,1610612752,0.279,92.34,f,0.541,2014,1610612737,9.6,0,0.532,0.198,Hawks
0.741,16.8,1.25,91.1,0.725,0.451,21400100,240:00:00,100.8,1610612752,0.237,91.8,f,0.587,2014,1610612737,17.7,0,0.546,0.198,Hawks
0.59,17.8,1.05,102.9,0.805,0.572,21400110,240:00:00,107.6,1610612762,0.371,93.6,f,0.517,2014,1610612737,23.7,0,0.596,0.192,Hawks
0.786,25.2,2.54,109.6,0.868,0.633,21400124,240:00:00,119.8,1610612748,0.1,94.56,f,0.564,2014,1610612737,13.7,0,0.67,0.2,Hawks
0.65,18.5,1.37,130,0.684,0.461,21400133,240:00:00,90.6,1610612739,0.239,100.72,f,0.347,2014,1610612737,18.3,0,0.491,0.198,Hawks
0.537,17.2,2,120.4,0.658,0.535,21400155,240:00:00,117.1,1610612747,0.295,93.9,f,0.486,2014,1610612737,11.8,0,0.573,0.198,Hawks
0.526,16.5,2,96.2,0.745,0.506,21400174,240:00:00,106,1610612765,0.2,93,f,0.599,2014,1610612737,10.7,0,0.541,0.198,Hawks
0.472,13.3,1.55,101.2,0.66,0.465,21400205,240:00:00,107.1,1610612764,0.279,99.86,f,0.565,2014,1610612737,11.1,0,0.53,0.198,Hawks
0.738,22.5,2.21,130.5,0.676,0.573,21400215,240:00:00,117.9,1610612761,0.265,97.04,f,0.465,2014,1610612737,14.4,0,0.621,0.198,Hawks
0.684,20,1.44,98.9,0.66,0.533,21400225,240:00:00,107.9,1610612740,0.297,92.36,f,0.586,2014,1610612737,19.4,0,0.584,0.2,Hawks
0.775,24.4,2.21,79.8,0.75,0.613,21400237,240:00:00,115.3,1610612766,0.167,92.54,f,0.746,2014,1610612737,15.4,0,0.64,0.196,Hawks
0.837,25.7,2.25,101.2,0.75,0.591,21400254,240:00:00,108.8,1610612738,0.108,101.94,f,0.537,2014,1610612737,16,0,0.618,0.2,Hawks
0.625,19.5,1.32,109.6,0.862,0.622,21400267,240:00:00,114.1,1610612748,0.161,95.6,f,0.515,2014,1610612737,19.4,0,0.666,0.194,Hawks
0.629,17.7,2,76.3,0.816,0.512,21400280,240:00:00,101.5,1610612751,0.125,97.46,f,0.662,2014,1610612737,11.4,0,0.535,0.198,Hawks
0.722,19.5,2.17,86.8,0.667,0.471,21400295,240:00:00,99.6,1610612743,0.234,96.54,f,0.57,2014,1610612737,12.5,0,0.503,0.2,Hawks
0.675,20.5,1.69,91.6,0.837,0.578,21400301,240:00:00,109.2,1610612754,0.15,99.68,f,0.63,2014,1610612737,16.2,0,0.608,0.2,Hawks
0.684,18.5,1.44,85.2,0.837,0.473,21400319,240:00:00,96.2,1610612755,0.333,95.7,f,0.585,2014,1610612737,18.2,0,0.491,0.193,Hawks
0.828,19.1,2,86.1,0.804,0.429,21400330,240:00:00,89.8,1610612753,0.119,95.46,f,0.654,2014,1610612737,12.4,0,0.484,0.2,Hawks
0.686,18.5,2.18,109.6,0.821,0.464,21400343,240:00:00,102.5,1610612753,0.237,93.9,f,0.466,2014,1610612737,11.4,0,0.523,0.198,Hawks
0.722,20.6,2.6,85.9,0.7,0.476,21400358,240:00:00,97.4,1610612741,0.106,97.82,f,0.59,2014,1610612737,10.5,0,0.514,0.198,Hawks
0.735,28.1,4,108.6,0.773,0.75,21400370,240:00:00,147.6,1610612739,0.207,88.14,f,0.66,2014,1610612737,10.5,0,0.765,0.2,Hawks
0.684,20.7,1.73,102.2,0.688,0.581,21400396,240:00:00,108.8,1610612745,0.125,95.24,f,0.59,2014,1610612737,15.7,0,0.615,0.2,Hawks
0.65,19.1,1.53,101.2,0.74,0.537,21400413,240:00:00,101.1,1610612742,0.15,102.34,f,0.523,2014,1610612737,16.4,0,0.565,0.2,Hawks
0.824,21,2,105.8,0.68,0.526,21400420,240:00:00,111,1610612746,0.205,97.36,f,0.52,2014,1610612737,14.5,0,0.585,0.2,Hawks
0.645,16,0.87,109.1,0.833,0.434,21400434,240:00:00,79.3,1610612749,0.19,97.64,f,0.311,2014,1610612737,23.7,0,0.469,0.198,Hawks
0.758,18.1,1.67,92.2,0.723,0.417,21400449,240:00:00,93.4,1610612749,0.333,94.26,f,0.528,2014,1610612737,15.6,0,0.458,0.193,Hawks
0.575,17.9,1.53,98.8,0.771,0.57,21400466,240:00:00,110.7,1610612739,0.184,100.34,f,0.595,2014,1610612737,15.2,0,0.603,0.2,Hawks
0.727,18.6,2.18,98.3,0.679,0.444,21400492,240:00:00,104,1610612762,0.268,93.88,f,0.584,2014,1610612737,11.7,0,0.52,0.198,Hawks
0.395,13.2,1.21,101.6,0.766,0.548,21400501,240:00:00,113.1,1610612757,0.233,103.46,f,0.556,2014,1610612737,13.8,0,0.589,0.2,Hawks
0.694,18.9,2.08,96.5,0.81,0.525,21400519,240:00:00,106.4,1610612746,0.159,101.02,f,0.554,2014,1610612737,11.9,0,0.56,0.2,Hawks
0.656,17.3,1.17,88.8,0.784,0.535,21400526,240:00:00,104.2,1610612763,0.205,94.48,f,0.579,2014,1610612737,19.5,0,0.585,0.198,Hawks
0.675,20.2,1.93,102.1,0.796,0.549,21400540,240:00:00,105.4,1610612765,0.146,100.74,f,0.545,2014,1610612737,13.9,0,0.573,0.2,Hawks
0.81,23.8,3.78,94.1,0.784,0.562,21400558,240:00:00,125.6,1610612764,0.295,95.08,f,0.624,2014,1610612737,9.4,0,0.603,0.198,Hawks
0.81,23.1,1.79,92.6,0.727,0.552,21400568,240:00:00,107.1,1610612755,0.395,96.02,f,0.653,2014,1610612737,19.4,0,0.558,0.195,Hawks
0.639,19.2,1.92,97.7,0.69,0.562,21400580,240:00:00,115.5,1610612738,0.182,92.02,f,0.645,2014,1610612737,13.2,0,0.619,0.2,Hawks
0.714,24.4,1.76,92.2,0.7,0.696,21400592,240:00:00,123.5,1610612761,0.148,92.76,f,0.659,2014,1610612737,19.1,0,0.723,0.2,Hawks
0.775,23.1,3.1,104.4,0.816,0.542,21400602,240:00:00,113.5,1610612741,0.2,94.52,f,0.548,2014,1610612737,10.6,0,0.574,0.198,Hawks
0.838,23.5,2.82,88.7,0.649,0.494,21400613,240:00:00,96.7,1610612765,0.109,94.3,f,0.615,2014,1610612737,11.4,0,0.516,0.198,Hawks
0.769,22.2,1.88,93.4,0.773,0.583,21400628,240:00:00,114.1,1610612754,0.22,96.94,f,0.605,2014,1610612737,16.6,0,0.615,0.2,Hawks
0.675,20,1.42,94,0.804,0.542,21400642,240:00:00,105.4,1610612760,0.27,98.32,f,0.584,2014,1610612737,19.4,0,0.58,0.194,Hawks
0.667,23.5,3,113.6,0.656,0.625,21400661,240:00:00,124.6,1610612750,0.235,88.96,f,0.552,2014,1610612737,11.1,0,0.637,0.2,Hawks
0.763,21.4,2.23,106.3,0.786,0.537,21400683,240:00:00,119.7,1610612751,0.316,95.18,f,0.563,2014,1610612737,13.8,0,0.605,0.196,Hawks
0.65,19.6,2,99.2,0.795,0.542,21400697,240:00:00,105.3,1610612757,0.159,99.76,f,0.536,2014,1610612737,13,0,0.56,0.2,Hawks
0.588,17,1.67,91.8,0.783,0.5,21400708,240:00:00,101.2,1610612755,0.19,91.26,f,0.591,2014,1610612737,13.3,0,0.53,0.2,Hawks
0.475,15.6,3.17,124.8,0.575,0.489,21400722,240:00:00,107,1610612740,0.205,92.8,f,0.391,2014,1610612737,6.4,0,0.518,0.2,Hawks
0.632,18.5,1.71,98.8,0.881,0.544,21400732,240:00:00,108.4,1610612764,0.2,97.04,f,0.545,2014,1610612737,14.5,0,0.571,0.2,Hawks
0.737,20.9,2.15,110.9,0.642,0.591,21400749,240:00:00,121.2,1610612744,0.111,103.44,f,0.561,2014,1610612737,12.7,0,0.665,0.2,Hawks
0.515,14.7,1.21,98.7,0.667,0.488,21400767,240:00:00,91.8,1610612763,0.073,95.54,f,0.448,2014,1610612737,14.6,0,0.519,0.2,Hawks
0.591,19.6,2.17,109.7,0.531,0.57,21400779,240:00:00,120.9,1610612750,0.27,96.24,f,0.574,2014,1610612737,12.4,0,0.617,0.196,Hawks
