cfga,cfgm,dfga,dfgm,dist,drbc,ftast,game_id,opponent_id,orbc,pass,period,sast,season,spd,tchs,team_id,ufga,ufgm,team
39,17,33,13,9.99,56,3,21400008,1610612761,23,127,f,9,2014,0,127,1610612737,41,23,Hawks
28,12,26,17,9.99,58,4,21400032,1610612754,12,127,f,5,2014,0,127,1610612737,41,23,Hawks
51,23,35,19,9.99,50,1,21400064,1610612759,32,127,f,3,2014,0,127,1610612737,41,15,Hawks
45,21,34,23,9.99,53,1,21400071,1610612766,14,127,f,6,2014,0,127,1610612737,48,22,Hawks
42,19,35,23,9.99,52,3,21400084,1610612752,21,127,f,4,2014,0,127,1610612737,39,14,Hawks
31,12,23,13,9.99,51,3,21400100,1610612752,13,127,f,6,2014,0,127,1610612737,40,15,Hawks
44,19,34,25,9.99,58,1,21400110,1610612762,21,127,f,5,2014,0,127,1610612737,32,20,Hawks
35,21,21,11,9.99,52,0,21400124,1610612748,9,127,f,13,2014,0,127,1610612737,40,21,Hawks
48,26,44,24,9.99,46,0,21400133,1610612739,20,127,f,7,2014,0,127,1610612737,42,14,Hawks
41,22,29,18,9.99,41,0,21400155,1610612747,19,127,f,6,2014,0,127,1610612737,44,19,Hawks
35,21,50,20,9.99,71,4,21400174,1610612765,17,127,f,4,2014,0,127,1610612737,45,17,Hawks
49,26,30,19,9.99,61,3,21400205,1610612764,24,127,f,5,2014,0,127,1610612737,36,10,Hawks
43,21,26,14,9.99,40,1,21400215,1610612761,18,127,f,7,2014,0,127,1610612737,39,21,Hawks
40,24,70,37,9.99,69,1,21400225,1610612740,21,127,f,4,2014,0,127,1610612737,36,14,Hawks
32,18,25,14,9.99,59,5,21400237,1610612766,6,127,f,8,2014,0,127,1610612737,43,22,Hawks
47,27,29,14,9.99,44,0,21400254,1610612738,17,127,f,9,2014,0,127,1610612737,35,16,Hawks
41,21,24,20,9.99,36,3,21400267,1610612748,12,127,f,7,2014,0,127,1610612737,33,19,Hawks
30,14,32,21,9.99,64,3,21400280,1610612751,17,127,f,6,2014,0,127,1610612737,51,21,Hawks
49,21,39,26,9.99,59,1,21400295,1610612743,21,127,f,8,2014,0,127,1610612737,38,15,Hawks
41,23,26,12,9.99,67,6,21400301,1610612754,14,127,f,10,2014,0,127,1610612737,36,17,Hawks
41,19,27,18,9.99,56,1,21400319,1610612755,22,127,f,9,2014,0,127,1610612737,50,19,Hawks
30,10,25,9,9.99,48,2,21400330,1610612753,16,127,f,6,2014,0,127,1610612737,48,19,Hawks
37,18,36,20,9.99,47,4,21400343,1610612753,21,127,f,7,2014,0,127,1610612737,47,17,Hawks
37,18,43,21,9.99,60,1,21400358,1610612741,18,127,f,7,2014,0,127,1610612737,46,18,Hawks
36,24,31,18,9.99,53,2,21400370,1610612739,14,127,f,11,2014,0,127,1610612737,40,25,Hawks
33,18,41,19,9.99,54,5,21400396,1610612745,8,127,f,5,2014,0,127,1610612737,41,20,Hawks
40,19,37,19,9.99,61,5,21400413,1610612742,13,127,f,7,2014,0,127,1610612737,41,21,Hawks
36,16,31,15,9.99,61,4,21400420,1610612746,17,127,f,8,2014,0,127,1610612737,40,18,Hawks
42,18,24,13,9.99,47,1,21400434,1610612749,16,127,f,7,2014,0,127,1610612737,34,13,Hawks
48,19,20,7,9.99,57,1,21400449,1610612749,28,127,f,8,2014,0,127,1610612737,42,14,Hawks
39,23,33,20,9.99,62,1,21400466,1610612739,14,127,f,4,2014,0,127,1610612737,40,17,Hawks
39,17,27,13,9.99,60,7,21400492,1610612762,19,127,f,4,2014,0,127,1610612737,42,16,Hawks
56,30,32,18,9.99,62,1,21400501,1610612757,24,127,f,3,2014,0,127,1610612737,28,13,Hawks
40,17,26,13,9.99,51,5,21400519,1610612746,15,127,f,9,2014,0,127,1610612737,41,19,Hawks
44,17,30,19,9.99,45,1,21400526,1610612763,18,127,f,8,2014,0,127,1610612737,28,15,Hawks
34,16,35,13,9.99,65,1,21400540,1610612765,15,127,f,8,2014,0,127,1610612737,48,24,Hawks
42,19,29,14,9.99,49,5,21400558,1610612764,18,127,f,11,2014,0,127,1610612737,47,23,Hawks
40,17,43,15,9.99,56,3,21400568,1610612755,23,127,f,10,2014,0,127,1610612737,47,25,Hawks
33,12,36,19,9.99,50,0,21400580,1610612738,12,127,f,6,2014,0,127,1610612737,40,24,Hawks
31,17,28,15,9.99,41,2,21400592,1610612761,8,127,f,11,2014,0,127,1610612737,38,25,Hawks
38,13,28,16,9.99,44,2,21400602,1610612741,19,127,f,7,2014,0,127,1610612737,46,27,Hawks
44,22,33,17,9.99,74,2,21400613,1610612765,18,127,f,12,2014,0,127,1610612737,40,15,Hawks
34,17,27,16,9.99,53,4,21400628,1610612754,13,127,f,7,2014,0,127,1610612737,44,22,Hawks
44,21,39,23,9.99,68,0,21400642,1610612760,13,127,f,6,2014,0,127,1610612737,39,19,Hawks
36,24,48,30,9.99,40,2,21400661,1610612750,15,127,f,12,2014,0,127,1610612737,44,21,Hawks
41,21,39,24,9.99,53,1,21400683,1610612751,20,127,f,7,2014,0,127,1610612737,41,17,Hawks
46,22,24,12,9.99,53,3,21400697,1610612757,10,127,f,6,2014,0,127,1610612737,38,18,Hawks
39,15,38,11,9.99,59,2,21400708,1610612755,15,127,f,5,2014,0,127,1610612737,39,19,Hawks
49,19,49,32,9.99,56,1,21400722,1610612740,18,127,f,6,2014,0,127,1610612737,40,21,Hawks
43,18,25,14,9.99,49,1,21400732,1610612764,15,127,f,7,2014,0,127,1610612737,37,20,Hawks
38,16,43,20,9.99,65,1,21400749,1610612744,15,127,f,4,2014,0,127,1610612737,39,22,Hawks
37,16,46,16,9.99,63,0,21400767,1610612763,10,127,f,4,2014,0,127,1610612737,43,17,Hawks
42,20,50,26,9.99,72,3,21400779,1610612750,17,127,f,9,2014,0,127,1610612737,44,24,Hawks
37,17,38,17,9.99,71,2,21400789,1610612738,16,127,f,5,2014,0,127,1610612737,41,16,Hawks
36,14,42,18,9.99,65,0,21400805,1610612761,26,127,f,5,2014,0,127,1610612737,52,15,Hawks
44,19,22,8,9.99,44,2,21400822,1610612749,19,127,f,7,2014,0,127,1610612737,43,16,Hawks
32,14,23,10,9.99,53,1,21400843,1610612742,20,127,f,8,2014,0,127,1610612737,53,25,Hawks
40,17,36,14,9.99,56,1,21400858,1610612753,19,127,f,12,2014,0,127,1610612737,41,19,Hawks
42,21,48,22,9.99,60,1,21400871,1610612748,16,127,f,7,2014,0,127,1610612737,37,13,Hawks
35,16,33,19,9.99,56,0,21400892,1610612745,13,127,f,7,2014,0,127,1610612737,51,23,Hawks
49,26,17,11,9.99,38,0,21400915,1610612739,16,127,f,8,2014,0,127,1610612737,35,17,Hawks
30,10,39,10,9.99,62,0,21400927,1610612755,11,127,f,4,2014,0,127,1610612737,47,20,Hawks
39,23,42,21,9.99,44,0,21400939,1610612758,17,127,f,17,2014,0,127,1610612737,49,30,Hawks
35,17,29,15,9.99,41,2,21400958,1610612743,17,127,f,10,2014,0,127,1610612737,46,17,Hawks
48,21,35,12,9.99,51,1,21400974,1610612756,16,127,f,5,2014,0,127,1610612737,35,18,Hawks
34,19,34,11,9.99,48,3,21400989,1610612747,11,127,f,5,2014,0,127,1610612737,42,15,Hawks
39,16,44,21,9.99,47,2,21400998,1610612758,14,127,f,7,2014,0,127,1610612737,45,22,Hawks
46,15,24,14,9.99,50,1,21401014,1610612744,27,127,f,8,2014,0,127,1610612737,41,16,Hawks
41,23,37,24,9.99,45,2,21401026,1610612760,15,127,f,6,2014,0,127,1610612737,41,18,Hawks
50,22,30,21,9.99,37,1,21401039,1610612759,13,127,f,5,2014,0,127,1610612737,30,16,Hawks
45,18,30,12,9.99,59,2,21401062,1610612753,21,127,f,2,2014,0,127,1610612737,45,21,Hawks
45,26,27,15,9.99,58,1,21401077,1610612748,20,127,f,11,2014,0,127,1610612737,27,11,Hawks
25,8,28,15,9.99,41,1,21401087,1610612766,14,127,f,6,2014,0,127,1610612737,61,29,Hawks
33,20,35,21,9.99,54,2,21401103,1610612749,16,127,f,8,2014,0,127,1610612737,46,16,Hawks
42,21,28,17,9.99,50,0,21401109,1610612765,21,127,f,3,2014,0,127,1610612737,42,19,Hawks
31,18,27,16,9.99,39,1,21401138,1610612751,14,127,f,8,2014,0,127,1610612737,51,31,Hawks
44,26,32,13,9.99,64,1,21401154,1610612756,14,127,f,5,2014,0,127,1610612737,39,15,Hawks
36,18,44,22,9.99,59,1,21401163,1610612751,14,127,f,13,2014,0,127,1610612737,50,25,Hawks
40,22,28,13,9.99,48,2,21401176,1610612766,12,127,f,10,2014,0,127,1610612737,42,19,Hawks
42,19,28,12,9.99,51,1,21401198,1610612764,13,127,f,5,2014,0,127,1610612737,45,17,Hawks
47,20,17,12,9.99,39,3,21401205,1610612752,21,127,f,5,2014,0,127,1610612737,41,19,Hawks
46,20,32,15,9.99,52,1,21401217,1610612741,27,127,f,5,2014,0,127,1610612737,46,16,Hawks
43,19,42,34,9.99,69,3,41400101,1610612751,13,127,f,7,2014,0,127,1610612737,36,15,Hawks
46,16,29,18,9.99,59,2,41400102,1610612751,15,127,f,7,2014,0,127,1610612737,44,19,Hawks
45,18,44,19,9.99,66,2,41400103,1610612751,26,127,f,7,2014,0,127,1610612737,45,14,Hawks
54,25,41,18,9.99,63,1,41400104,1610612751,29,127,f,7,2014,0,127,1610612737,41,21,Hawks
40,17,27,10,9.99,59,1,41400105,1610612751,14,127,f,8,2014,0,127,1610612737,43,23,Hawks
38,17,27,12,9.99,56,2,41400106,1610612751,11,127,f,7,2014,0,127,1610612737,47,26,Hawks
48,21,23,7,9.99,59,2,41400201,1610612764,27,127,f,7,2014,0,127,1610612737,50,16,Hawks
44,21,27,10,9.99,50,0,41400202,1610612764,22,127,f,8,2014,0,127,1610612737,41,16,Hawks
44,22,28,16,9.99,44,0,41400203,1610612764,21,127,f,3,2014,0,127,1610612737,37,14,Hawks
52,23,28,16,9.99,44,2,41400204,1610612764,16,127,f,8,2014,0,127,1610612737,35,18,Hawks
45,19,33,12,9.99,52,2,41400205,1610612764,22,127,f,6,2014,0,127,1610612737,38,15,Hawks
39,18,37,14,9.99,59,3,41400206,1610612764,22,127,f,7,2014,0,127,1610612737,45,18,Hawks
41,21,39,22,9.99,51,1,41400301,1610612739,17,127,f,2,2014,0,127,1610612737,36,13,Hawks
44,22,21,16,9.99,51,1,41400302,1610612739,13,127,f,3,2014,0,127,1610612737,35,11,Hawks
37,15,39,20,9.99,67,3,41400303,1610612739,17,127,f,4,2014,0,127,1610612737,51,21,Hawks
44,26,24,17,9.99,53,2,41400304,1610612739,14,127,f,7,2014,0,127,1610612737,41,10,Hawks
39,19,53,23,9.99,85,2,21500001,1610612765,21,127,f,8,2014,0,127,1610612737,43,18,Hawks
39,19,53,23,9.99,85,2,21500001,1610612765,21,127,f,8,2015,0,127,1610612737,43,18,Hawks
