blk,blka,game_id,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,opp_pts_paint,opponent_id,period,pf,pfd,pts_2nd_chance,pts_fb,pts_off_tov,pts_paint,season,team_id,team
8,9,21400008,26,18,23,40,1610612761,f,24,22,11,10,14,36,2014,1610612737,Hawks
6,5,21400032,24,5,13,26,1610612754,f,20,26,5,15,20,28,2014,1610612737,Hawks
5,9,21400064,14,18,15,34,1610612759,f,25,15,13,11,14,40,2014,1610612737,Hawks
2,7,21400071,22,1,22,50,1610612766,f,30,28,11,15,18,38,2014,1610612737,Hawks
5,6,21400084,15,9,12,40,1610612752,f,17,29,19,10,17,34,2014,1610612737,Hawks
3,2,21400100,15,4,11,32,1610612752,f,16,26,12,5,19,24,2014,1610612737,Hawks
4,8,21400110,11,6,28,52,1610612762,f,12,17,19,11,17,46,2014,1610612737,Hawks
5,3,21400124,9,7,17,32,1610612748,f,20,20,11,12,19,40,2014,1610612737,Hawks
8,2,21400133,9,13,33,48,1610612739,f,12,14,11,11,13,48,2014,1610612737,Hawks
3,0,21400155,18,11,9,48,1610612747,f,17,24,10,12,18,50,2014,1610612737,Hawks
5,3,21400174,20,8,10,40,1610612765,f,18,20,12,6,11,46,2014,1610612737,Hawks
6,3,21400205,22,0,16,40,1610612764,f,23,25,16,4,18,48,2014,1610612737,Hawks
4,7,21400215,17,25,19,42,1610612761,f,24,24,9,13,14,36,2014,1610612737,Hawks
7,4,21400225,18,9,17,52,1610612740,f,14,19,13,14,11,52,2014,1610612737,Hawks
5,4,21400237,16,2,19,24,1610612766,f,17,16,5,9,15,40,2014,1610612737,Hawks
8,3,21400254,13,10,11,36,1610612738,f,14,20,6,6,28,44,2014,1610612737,Hawks
1,5,21400267,7,5,15,50,1610612748,f,24,24,9,11,23,42,2014,1610612737,Hawks
4,2,21400280,11,9,8,32,1610612751,f,22,21,10,14,22,28,2014,1610612737,Hawks
4,4,21400295,9,14,19,46,1610612743,f,15,22,18,13,14,38,2014,1610612737,Hawks
7,2,21400301,10,15,13,36,1610612754,f,20,22,5,10,15,48,2014,1610612737,Hawks
1,10,21400319,10,14,19,40,1610612755,f,16,18,16,10,20,44,2014,1610612737,Hawks
3,4,21400330,9,3,10,26,1610612753,f,12,27,10,11,18,24,2014,1610612737,Hawks
4,6,21400343,12,4,9,44,1610612753,f,19,15,12,10,15,44,2014,1610612737,Hawks
7,6,21400358,17,8,3,42,1610612741,f,17,17,2,12,17,40,2014,1610612737,Hawks
5,0,21400370,12,9,9,46,1610612739,f,17,17,8,10,13,58,2014,1610612737,Hawks
9,4,21400396,17,12,10,36,1610612745,f,15,25,8,15,14,40,2014,1610612737,Hawks
6,5,21400413,12,21,11,42,1610612742,f,21,23,13,13,18,46,2014,1610612737,Hawks
3,5,21400420,18,14,15,38,1610612746,f,21,23,10,1,12,32,2014,1610612737,Hawks
4,6,21400434,11,21,30,40,1610612749,f,19,19,8,13,13,46,2014,1610612737,Hawks
4,10,21400449,7,15,10,30,1610612749,f,17,18,16,11,32,42,2014,1610612737,Hawks
5,2,21400466,14,12,16,42,1610612739,f,19,24,8,10,31,44,2014,1610612737,Hawks
3,9,21400492,23,10,13,34,1610612762,f,17,18,9,21,20,36,2014,1610612737,Hawks
5,7,21400501,24,9,15,38,1610612757,f,15,23,16,15,23,64,2014,1610612737,Hawks
2,5,21400519,12,11,13,34,1610612746,f,23,25,5,18,23,38,2014,1610612737,Hawks
4,4,21400526,13,14,26,36,1610612763,f,15,21,4,16,19,30,2014,1610612737,Hawks
3,3,21400540,14,20,14,36,1610612765,f,13,19,13,9,12,46,2014,1610612737,Hawks
3,7,21400558,12,11,8,34,1610612764,f,15,16,19,21,31,42,2014,1610612737,Hawks
3,6,21400568,16,16,12,36,1610612755,f,17,22,12,19,21,46,2014,1610612737,Hawks
7,2,21400580,17,5,17,38,1610612738,f,12,23,7,19,23,36,2014,1610612737,Hawks
6,3,21400592,17,11,22,42,1610612761,f,17,16,6,13,24,46,2014,1610612737,Hawks
7,5,21400602,4,12,14,42,1610612741,f,19,21,9,13,15,34,2014,1610612737,Hawks
1,2,21400613,15,9,17,36,1610612765,f,19,17,5,10,20,42,2014,1610612737,Hawks
3,2,21400628,13,10,20,36,1610612754,f,23,21,11,18,23,36,2014,1610612737,Hawks
5,7,21400642,8,19,18,40,1610612760,f,13,16,10,15,17,54,2014,1610612737,Hawks
5,2,21400661,18,8,15,52,1610612750,f,20,18,6,12,21,56,2014,1610612737,Hawks
4,5,21400683,14,6,13,40,1610612751,f,18,20,16,8,17,38,2014,1610612737,Hawks
4,3,21400697,12,10,12,32,1610612757,f,17,20,8,11,12,38,2014,1610612737,Hawks
5,4,21400708,17,7,18,30,1610612755,f,16,26,11,13,14,34,2014,1610612737,Hawks
3,10,21400722,15,17,11,52,1610612740,f,15,15,9,9,14,46,2014,1610612737,Hawks
2,2,21400732,6,12,16,40,1610612764,f,22,24,11,2,10,38,2014,1610612737,Hawks
4,7,21400749,14,22,22,58,1610612744,f,19,24,6,19,20,36,2014,1610612737,Hawks
5,4,21400767,22,9,18,52,1610612763,f,16,12,6,14,8,34,2014,1610612737,Hawks
6,8,21400779,26,9,15,44,1610612750,f,21,19,18,21,21,58,2014,1610612737,Hawks
5,4,21400789,23,4,11,30,1610612738,f,17,23,6,17,14,32,2014,1610612737,Hawks
8,9,21400805,19,16,30,48,1610612761,f,10,20,16,22,11,26,2014,1610612737,Hawks
7,7,21400822,7,15,23,36,1610612749,f,17,24,19,14,18,44,2014,1610612737,Hawks
2,3,21400843,14,5,14,26,1610612742,f,18,18,17,10,17,34,2014,1610612737,Hawks
5,7,21400858,13,11,20,36,1610612753,f,12,17,12,20,17,38,2014,1610612737,Hawks
5,3,21400871,18,14,21,42,1610612748,f,19,16,7,13,31,38,2014,1610612737,Hawks
6,6,21400892,3,17,17,44,1610612745,f,13,21,17,14,13,48,2014,1610612737,Hawks
4,6,21400915,10,11,13,24,1610612739,f,22,14,11,17,20,54,2014,1610612737,Hawks
9,3,21400927,12,19,19,26,1610612755,f,14,12,6,19,13,28,2014,1610612737,Hawks
6,2,21400939,26,14,14,52,1610612758,f,18,12,17,18,24,52,2014,1610612737,Hawks
3,9,21400958,14,4,20,34,1610612743,f,18,20,15,11,22,34,2014,1610612737,Hawks
6,6,21400974,14,14,13,32,1610612756,f,20,14,4,22,28,52,2014,1610612737,Hawks
6,4,21400989,21,8,12,32,1610612747,f,14,22,1,17,28,36,2014,1610612737,Hawks
5,5,21400998,13,12,13,50,1610612758,f,24,29,17,23,17,44,2014,1610612737,Hawks
4,7,21401014,12,21,16,36,1610612744,f,20,23,17,18,23,32,2014,1610612737,Hawks
4,6,21401026,15,21,9,54,1610612760,f,16,19,10,16,18,50,2014,1610612737,Hawks
2,4,21401039,14,17,19,60,1610612759,f,15,14,7,14,17,44,2014,1610612737,Hawks
8,3,21401062,12,8,15,40,1610612753,f,17,14,20,14,21,48,2014,1610612737,Hawks
4,6,21401077,12,8,24,28,1610612748,f,13,20,5,9,18,48,2014,1610612737,Hawks
4,6,21401087,9,10,14,32,1610612766,f,17,16,7,8,7,22,2014,1610612737,Hawks
4,2,21401103,14,9,12,32,1610612749,f,20,22,18,14,16,38,2014,1610612737,Hawks
0,6,21401109,6,5,22,36,1610612765,f,14,14,13,10,17,42,2014,1610612737,Hawks
4,2,21401138,14,11,12,40,1610612751,f,16,15,16,16,33,50,2014,1610612737,Hawks
4,6,21401154,6,6,12,32,1610612756,f,17,9,12,20,18,52,2014,1610612737,Hawks
4,4,21401163,8,10,17,60,1610612751,f,18,20,14,24,23,54,2014,1610612737,Hawks
4,3,21401176,15,1,5,28,1610612766,f,18,15,14,15,14,46,2014,1610612737,Hawks
2,6,21401198,16,29,21,46,1610612764,f,22,19,11,9,16,40,2014,1610612737,Hawks
3,7,21401205,14,9,15,34,1610612752,f,17,19,11,14,21,38,2014,1610612737,Hawks
10,9,21401217,10,8,11,46,1610612741,f,19,12,12,11,16,38,2014,1610612737,Hawks
3,0,41400101,16,4,13,54,1610612751,f,21,19,15,15,24,42,2014,1610612737,Hawks
7,5,41400102,8,6,14,38,1610612751,f,18,21,10,13,19,28,2014,1610612737,Hawks
5,2,41400103,9,2,8,30,1610612751,f,21,17,16,25,13,50,2014,1610612737,Hawks
6,5,41400104,12,11,26,44,1610612751,f,19,19,20,11,16,60,2014,1610612737,Hawks
4,5,41400105,8,11,18,32,1610612751,f,11,21,11,13,19,42,2014,1610612737,Hawks
3,3,41400106,12,2,12,38,1610612751,f,21,17,6,23,20,42,2014,1610612737,Hawks
6,4,41400201,25,14,18,32,1610612764,f,18,19,14,20,11,42,2014,1610612737,Hawks
6,1,41400202,13,18,11,30,1610612764,f,16,21,10,14,16,38,2014,1610612737,Hawks
3,5,41400203,9,11,9,32,1610612764,f,26,24,14,25,20,50,2014,1610612737,Hawks
5,8,41400204,13,15,12,48,1610612764,f,20,19,11,10,19,48,2014,1610612737,Hawks
13,5,41400205,7,14,25,40,1610612764,f,17,17,10,4,20,42,2014,1610612737,Hawks
6,4,41400206,13,12,18,44,1610612764,f,22,18,12,8,11,46,2014,1610612737,Hawks
3,4,41400301,12,8,15,42,1610612739,f,21,19,9,9,15,46,2014,1610612737,Hawks
3,4,41400302,13,11,7,30,1610612739,f,19,14,13,8,15,48,2014,1610612737,Hawks
3,6,41400303,17,4,11,42,1610612739,f,25,24,8,10,18,38,2014,1610612737,Hawks
3,7,41400304,19,11,7,48,1610612739,f,20,18,10,10,10,52,2014,1610612737,Hawks
