Team,Wins,Losses,Season
Warriors,67,15,2014
Hawks,60,22,2014
Rockets,56,26,2014
Clippers,56,26,2014
Grizzlies,55,27,2014
Spurs,55,27,2014
Cavaliers,53,29,2014
Trail Blazers,51,31,2014
Bulls,50,32,2014
Mavericks,50,32,2014
Raptors,49,33,2014
Wizards,46,36,2014
Pelicans,45,37,2014
Thunder,45,37,2014
Bucks,41,41,2014
Celtics,40,42,2014
Suns,39,43,2014
Nets,38,44,2014
Pacers,38,44,2014
Jazz,38,44,2014
Heat,37,45,2014
Hornets,33,49,2014
Pistons,32,50,2014
Nuggets,30,52,2014
Kings,29,53,2014
Magic,25,57,2014
Lakers,21,61,2014
76ers,18,64,2014
Knicks,17,65,2014
Timberwolves,16,66,2014
Warriors,73,9,2015
Spurs,67,15,2015
Cavaliers,57,25,2015
Raptors,56,26,2015
Thunder,55,27,2015
Clippers,53,29,2015
Hawks,48,34,2015
Celtics,48,34,2015
Hornets,48,34,2015
Heat,48,34,2015
Pacers,45,37,2015
Pistons,44,38,2015
Trail Blazers,44,38,2015
Mavericks,42,40,2015
Grizzlies,42,40,2015
Bulls,42,40,2015
Rockets,41,41,2015
Wizards,41,41,2015
Jazz,40,42,2015
Magic,35,47,2015
Nuggets,33,49,2015
Bucks,33,49,2015
Kings,33,49,2015
Knicks,32,50,2015
Pelicans,30,52,2015
Timberwolves,29,53,2015
Suns,23,59,2015
Nets,21,61,2015
Lakers,17,65,2015
76ers,10,72,2015
Warriors,67,15,2016
Spurs,61,21,2016
Rockets,55,27,2016
Celtics,53,29,2016
Cavaliers,51,31,2016
Clippers,51,31,2016
Raptors,51,31,2016
Jazz,51,31,2016
Wizards,49,33,2016
Thunder,47,35,2016
Hawks,43,39,2016
Grizzlies,43,39,2016
Pacers,42,40,2016
Bucks,42,40,2016
Bulls,41,41,2016
Trail Blazers,41,41,2016
Heat,41,41,2016
Nuggets,40,42,2016
Pistons,37,45,2016
Hornets,36,46,2016
Pelicans,34,48,2016
Mavericks,33,49,2016
Kings,32,50,2016
Timberwolves,31,51,2016
Knicks,31,51,2016
Magic,29,53,2016
76ers,28,54,2016
Lakers,26,56,2016
Suns,24,58,2016
Nets,20,62,2016
