Team,season,FGM,FGA,FG%,2pm,2pa,2p%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Warriors,2014,3410,7137,47.8,2527,4920,0.513617886,883,2217,39.8,1313,1709,76.8,853,2814,3667,2248,1185,762,496,293,1628,1541,828
Hawks,2014,3121,6699,46.6,2303,4547,0.506487794,818,2152,38,1349,1735,77.8,715,2611,3326,2111,1167,744,380,404,1457,1611,445
Rockets,2014,3032,6832,44.4,2099,4152,0.505539499,933,2680,34.8,1525,2133,71.5,958,2624,3582,1820,1366,776,407,437,1803,1730,282
Clippers,2014,3228,6830,47.3,2401,4628,0.518798617,827,2202,37.6,1468,2067,71,784,2711,3495,2031,1012,640,409,245,1749,1766,540
Grizzlies,2014,3097,6763,45.8,2674,5517,0.484683705,423,1246,33.9,1445,1869,77.3,856,2634,3490,1777,1094,700,347,424,1567,1662,266
Spurs,2014,3208,6854,46.8,2531,5007,0.505492311,677,1847,36.7,1368,1754,78,806,2772,3578,2000,1146,657,444,362,1564,1613,508
Cavaliers,2014,3089,6739,45.8,2263,4486,0.504458315,826,2253,36.7,1453,1934,75.1,911,2612,3523,1814,1171,603,340,368,1510,1685,367
Trail Blazers,2014,3175,7049,45,2368,4818,0.491490245,807,2231,36.2,1272,1589,80.1,879,2881,3760,1799,1117,525,372,297,1494,1534,347
Bulls,2014,3001,6797,44.2,2356,4972,0.47385358,645,1825,35.3,1618,2067,78.3,959,2792,3751,1781,1145,514,476,443,1495,1736,246
Mavericks,2014,3255,7036,46.3,2523,4954,0.509285426,732,2082,35.2,1386,1843,75.2,858,2608,3466,1846,1062,663,371,314,1644,1816,238
Raptors,2014,3108,6829,45.5,2382,4769,0.499475781,726,2060,35.2,1585,2014,78.7,881,2526,3407,1701,1057,615,357,413,1712,1668,252
Wizards,2014,3139,6790,46.2,2642,5409,0.488445184,497,1381,36,1305,1758,74.2,862,2801,3663,1969,1233,601,378,350,1707,1610,59
Pelicans,2014,3108,6795,45.7,2522,5212,0.483883346,586,1583,37,1345,1790,75.1,942,2621,3563,1806,1087,553,510,475,1530,1533,65
Thunder,2014,3184,7119,44.7,2552,5255,0.485632731,632,1864,33.9,1524,2020,75.4,1052,2844,3896,1681,1205,598,454,377,1829,1675,179
