team,season,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT
Warriors,2014,82,67,15,3946,98,2814,74.5,762,496,1250,1164,1142,3410
Hawks,2014,82,60,22,3946,101,2611,73.4,744,380,1290,1161,916,3232
Rockets,2014,82,56,26,3961,101,2624,72.9,776,407,1504,1149,1253,3616
Clippers,2014,82,56,26,3946,103,2711,75.7,640,409,1218,1048,1007,3184
Grizzlies,2014,82,55,27,3981,100,2634,75.3,700,347,1158,954,1101,3196
Spurs,2014,82,55,27,3991,100,2772,77.3,657,444,1235,979,1156,3482
Cavaliers,2014,82,53,29,3956,104,2612,74.7,603,340,1329,1017,970,3502
Blazers,2014,82,51,31,3971,101,2881,76.2,525,372,1241,1129,1094,3534
Bulls,2014,82,50,32,3976,102,2792,74.4,514,476,1258,1079,1065,3344
Mavericks,2014,82,50,32,3976,104,2608,72.2,663,371,1245,1150,1301,3352
Raptors,2014,82,49,33,3971,105,2526,73.3,615,357,1230,1162,1013,3582
Wizards,2014,82,46,36,3991,100,2801,77.3,601,378,1333,1034,963,3138
Pelicans,2014,82,45,37,3956,105,2621,75.1,553,510,1210,1058,1123,3812
Thunder,2014,82,45,37,3966,103,2844,75.6,598,454,1356,1049,1028,3506
Bucks,2014,82,41,41,3986,99,2574,73.3,789,403,1374,1092,877,3262
Celtics,2014,82,40,42,3976,102,2685,75,674,294,1325,1108,890,3658
Suns,2014,82,39,43,3976,103,2643,73.5,700,385,1412,1183,1250,3718
Pacers,2014,82,38,44,3971,101,2822,77.9,505,375,1274,967,1070,3140
Jazz,2014,82,38,44,3941,102,2617,76.3,623,489,1429,1028,1037,3236
Nets,2014,82,38,44,3986,105,2627,73.7,576,340,1280,1152,1133,3574
Heat,2014,82,37,45,3946,104,2461,73.4,642,372,1382,1088,936,3362
Hornets,2014,82,33,49,3981,101,2793,79.3,499,448,1053,1031,905,3156
Pistons,2014,82,32,50,3966,104,2630,75,623,383,1295,1110,930,3522
Nuggets,2014,82,30,52,3976,106,2653,74.7,641,367,1348,1160,1082,3516
Kings,2014,82,29,53,3971,107,2728,75.2,550,324,1524,1115,1378,3596
Magic,2014,82,25,57,3951,105,2607,76,647,314,1384,957,1010,3366
Lakers,2014,82,21,61,3986,108,2647,76.3,578,366,1305,1025,1241,3696
76ers,2014,82,18,64,3961,102,2536,73,789,487,1687,1144,1200,3420
Knicks,2014,82,17,65,3971,107,2443,73.1,575,382,1406,1027,1006,3372
Timberwolves,2014,82,16,66,3961,110,2406,71.6,668,327,1427,1223,1175,3938
Warriors,2015,82,73,9,3976,101,2972,76,689,498,1365,1130,1187,3698
Spurs,2015,82,67,15,3941,97,2831,79.1,677,485,1103,876,996,3286
Cavaliers,2015,82,57,25,3971,102,2777,78.5,551,317,1278,919,917,3344
Raptors,2015,82,56,26,3956,103,2724,77.7,636,449,1163,948,898,3286
Thunder,2015,82,55,27,3966,103,2916,76,603,487,1446,1143,1085,3706
Clippers,2015,82,53,29,3966,101,2727,73.8,709,460,1191,1135,1016,3386
Heat,2015,82,48,34,3966,102,2811,77.8,553,531,1278,1062,879,3444
Celtics,2015,82,48,34,3956,101,2733,74.6,752,348,1211,1164,888,3524
Hornets,2015,82,48,34,3971,102,2869,79.8,595,438,1155,933,1017,3280
Hawks,2015,82,48,34,3966,99,2772,74.6,747,486,1308,1071,976,3354
Pacers,2015,82,45,37,3976,100,2779,76,742,391,1337,1070,1002,3408
Pistons,2015,82,44,38,3976,103,2777,79.3,573,304,1195,879,854,3640
Blazers,2015,82,44,38,3961,106,2782,76.2,562,380,1338,1017,907,3354
Mavericks,2015,82,42,40,4001,104,2781,76.2,560,306,1213,1100,1316,3350
Bulls,2015,82,42,40,3981,104,2889,74.9,495,470,1314,1169,1128,3642
Grizzlies,2015,82,42,40,3966,105,2497,75.1,724,350,1239,970,1198,3160
Rockets,2015,82,41,41,3966,106,2601,72.8,821,430,1597,1202,1183,3654
Wizards,2015,82,41,41,3951,104,2688,77.7,708,323,1288,958,1045,3376
Jazz,2015,82,40,42,3991,102,2665,77.7,631,425,1312,940,961,3246
Magic,2015,82,35,47,3981,105,2709,76.5,673,417,1314,934,1079,3564
Bucks,2015,82,33,49,3966,106,2559,73.1,672,475,1453,1153,1068,3606
Nuggets,2015,82,33,49,3966,106,2718,77.3,609,395,1378,995,1070,3534
Kings,2015,82,33,49,3961,106,2760,74.9,733,368,1528,1117,1231,3574
Knicks,2015,82,32,50,3961,105,2788,75.8,467,466,1262,1043,1050,3538
Pelicans,2015,82,30,52,3956,107,2712,78.8,633,342,1226,927,962,3544
Timberwolves,2015,82,29,53,3976,107,2587,74.7,656,375,1461,1079,1097,3784
Suns,2015,82,23,59,3941,107,2733,77.1,632,313,1653,1034,1416,3590
Nets,2015,82,21,61,3951,109,2614,75.7,627,332,1497,989,1188,3924
Lakers,2015,82,17,65,3946,109,2645,74.7,593,337,1352,1172,1393,3918
76ers,2015,82,10,72,3961,107,2605,74,680,495,1639,1207,1370,3736
Warriors,2016,82,67,15,3956,101,2873,74.9,785,555,1371,1146,1182,3726
Spurs,2016,82,61,21,3961,101,2777,77.6,655,484,1205,1015,1036,3344
Rockets,2016,82,55,27,3956,106,2746,75.8,670,352,1432,1135,1170,4018
