efg_pct,fta_rate,game_id,opp_efg_pct,opp_fta_rate,opp_oreb_pct,opp_tov_pct,opponent_id,oreb_pct,period,season,team_id,tm_tov_pct,team
0.581,0.213,21400008,0.456,0.367,0.333,0.102,1610612761,0.238,f,2014,1610612737,0.197,Hawks
0.558,0.478,21400032,0.457,0.259,0.244,0.185,1610612754,0.083,f,2014,1610612737,0.139,Hawks
0.457,0.12,21400064,0.486,0.551,0.289,0.219,1610612759,0.204,f,2014,1610612737,0.139,Hawks
0.523,0.302,21400071,0.506,0.278,0.256,0.173,1610612766,0.159,f,2014,1610612737,0.158,Hawks
0.463,0.444,21400084,0.524,0.131,0.31,0.165,1610612752,0.279,f,2014,1610612737,0.096,Hawks
0.451,0.394,21400100,0.47,0.145,0.275,0.172,1610612752,0.237,f,2014,1610612737,0.177,Hawks
0.572,0.237,21400110,0.529,0.14,0.195,0.117,1610612762,0.371,f,2014,1610612737,0.237,Hawks
0.633,0.307,21400124,0.541,0.338,0.132,0.149,1610612748,0.1,f,2014,1610612737,0.137,Hawks
0.461,0.144,21400133,0.65,0.144,0.316,0.143,1610612739,0.239,f,2014,1610612737,0.183,Hawks
0.535,0.271,21400155,0.575,0.253,0.342,0.116,1610612747,0.295,f,2014,1610612737,0.118,Hawks
0.506,0.325,21400174,0.398,0.289,0.255,0.13,1610612765,0.2,f,2014,1610612737,0.107,Hawks
0.465,0.4,21400205,0.482,0.345,0.34,0.198,1610612764,0.279,f,2014,1610612737,0.111,Hawks
0.573,0.293,21400215,0.598,0.402,0.324,0.114,1610612761,0.265,f,2014,1610612737,0.144,Hawks
0.533,0.289,21400225,0.444,0.18,0.34,0.13,1610612740,0.297,f,2014,1610612737,0.194,Hawks
0.613,0.213,21400237,0.358,0.182,0.25,0.128,1610612766,0.167,f,2014,1610612737,0.154,Hawks
0.591,0.171,21400254,0.56,0.155,0.25,0.222,1610612738,0.108,f,2014,1610612737,0.16,Hawks
0.622,0.311,21400267,0.609,0.5,0.138,0.204,1610612748,0.161,f,2014,1610612737,0.194,Hawks
0.512,0.296,21400280,0.394,0.238,0.184,0.193,1610612751,0.125,f,2014,1610612737,0.114,Hawks
0.471,0.218,21400295,0.398,0.14,0.333,0.145,1610612743,0.234,f,2014,1610612737,0.125,Hawks
0.578,0.351,21400301,0.494,0.202,0.163,0.169,1610612754,0.15,f,2014,1610612737,0.162,Hawks
0.473,0.143,21400319,0.458,0.306,0.163,0.194,1610612755,0.333,f,2014,1610612737,0.182,Hawks
0.429,0.346,21400330,0.448,0.208,0.196,0.202,1610612753,0.119,f,2014,1610612737,0.124,Hawks
0.464,0.286,21400343,0.568,0.284,0.179,0.164,1610612753,0.237,f,2014,1610612737,0.114,Hawks
0.476,0.205,21400358,0.409,0.151,0.3,0.16,1610612741,0.106,f,2014,1610612737,0.105,Hawks
0.75,0.211,21400370,0.5,0.256,0.227,0.1,1610612739,0.207,f,2014,1610612737,0.105,Hawks
0.581,0.324,21400396,0.483,0.209,0.313,0.169,1610612745,0.125,f,2014,1610612737,0.157,Hawks
0.537,0.333,21400413,0.494,0.222,0.26,0.149,1610612742,0.15,f,2014,1610612737,0.164,Hawks
0.526,0.461,21400420,0.462,0.304,0.32,0.102,1610612746,0.205,f,2014,1610612737,0.145,Hawks
0.434,0.184,21400434,0.557,0.291,0.167,0.153,1610612749,0.19,f,2014,1610612737,0.237,Hawks
0.417,0.211,21400449,0.463,0.175,0.277,0.206,1610612749,0.333,f,2014,1610612737,0.156,Hawks
0.57,0.329,21400466,0.518,0.25,0.229,0.196,1610612739,0.184,f,2014,1610612737,0.152,Hawks
0.444,0.37,21400492,0.43,0.279,0.321,0.15,1610612762,0.268,f,2014,1610612737,0.117,Hawks
0.548,0.369,21400501,0.522,0.129,0.234,0.171,1610612757,0.233,f,2014,1610612737,0.138,Hawks
0.525,0.407,21400519,0.493,0.446,0.19,0.207,1610612746,0.159,f,2014,1610612737,0.119,Hawks
0.535,0.319,21400526,0.475,0.139,0.216,0.217,1610612763,0.205,f,2014,1610612737,0.195,Hawks
0.549,0.293,21400540,0.464,0.188,0.204,0.079,1610612765,0.146,f,2014,1610612737,0.139,Hawks
0.562,0.27,21400558,0.507,0.197,0.216,0.211,1610612764,0.295,f,2014,1610612737,0.094,Hawks
0.552,0.184,21400568,0.467,0.329,0.273,0.202,1610612755,0.395,f,2014,1610612737,0.194,Hawks
