,Wins,+/-,2PM_PACE,2p%,2pa,2pm,3P%,3PA,3PM,3PM_PACE,AST,AST RAT,AST%,AST/TO,AST_PACE,BLK,DEFRTG,DREB,DR_PACE,EFG%,FG%,FGA,FGM,Losses,NETRTG,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS OFF TOV,OPP PTS PAINT,OREB,OR_PACE,PACE,REB,STL,STOCKS,STOCKS_PACE,TOV,TOV%,TO_RATIO,TS%,UA_PACE,UncontestedAssists,pts_off_tov,pts_paint,season,ufga,ufgm,ufgp
+/-,0.974556285,0,0.095928307,0.669200294,-0.321485287,0.04815905,0.652904929,0.312542692,0.449320004,0.468896261,0.504113046,0,0,0,0.552493122,0.314737514,0,0.465123062,0.49577607,0,0.68998846,0.011534791,0.555801541,-0.974556285,0,0,0,0,0,-0.1212803,-0.088655637,0,0.292244127,0.151037838,0.301542812,0.343191245,-0.27597041,0,0.160769874,0,0.106784787,0.101265938,0.083496724,0.095913387,0,0.144376902,0.179168718,0.463959618
NETRTG,0.730604243,0.765462654,-0.016469188,0.494785279,-0.299261169,-0.038967115,0.504633083,0.286391391,0.389167388,0.398097535,0.428465844,0,0,0,0.450496292,0.326020083,-0.71268836,0.282698383,0.284255102,0,0.480424303,0.001806139,0.387499768,-0.730604243,0,0,0,0,0,-0.04560841,-0.034923695,0,0.196089257,0.220650221,0.358794763,0.377147009,-0.145695208,0,0.125156614,0,0.047557091,0.046753004,0.078140877,0.074900052,-0.000548723,0.086630777,0.110709564,0.351491318
FG%,0.671914672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.056555576,0.756813556,-0.671914672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.078221037,0,0,0,-0.107132743,-0.097517456,0.220713124,-0.10281338,-0.047249088,0.605020629
2p%,0.64786054,0,0.019114295,0,-0.497803132,0.047465442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852711022,0.080139923,0.72956866,-0.64786054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.228830585,0,0,0,-0.24045915,-0.24557924,0.37528926,-0.241527449,-0.199577721,0.41348159
3P%,0.645008822,0,-0.014618588,0.552294434,-0.336299015,-0.041163313,0,0.295958036,0.520754775,0.537416462,0,0,0,0,0,0,0,0,0,0,0.703748377,-0.048818986,0.531301302,-0.645008822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.086189003,0,0,0,-0.120683647,-0.122404514,0.182340855,-0.036356407,0.012133862,0.509229312
TS%,0.537331512,0.55031913,-0.193637527,0.586933662,-0.418284453,-0.122011816,0.573244586,0.324564647,0.44332756,0.41817424,0.480646959,0.632336462,0.43161727,0.417421314,0.430554158,0.170557598,-0.18724399,0.004290328,-0.11728488,0.971990061,0.553531086,-0.146280838,0.351091871,-0.537331512,0.750670496,0,0,0,0,-0.144395214,-0.199179929,0,-0.091439666,0.274167898,0.302536047,0.246678666,0.097716829,0.100048081,-0.048523781,0,-0.079674459,-0.068807984,-0.051725256,-0.06638175,-0.054665654,-0.025866782,0.002640779,0.371455868
AST_PACE,0.532861652,0,0.185786991,0.597339265,-0.153342511,0.191156156,0.56562088,0.239363449,0.363421663,0.361314341,0.966659757,0,0,0,0,0,0,0.275527772,0.248421982,0,0.636338693,0.182906409,0.626681325,-0.532861652,0,0,0,0,0,-0.330338138,-0.328219851,0,0.003282655,0,0,0,0,0,-0.006663255,0,0,0,-0.027846294,-0.041307297,0.162307087,0.009865763,0.051818208,0.472050855
FGM,0.528712223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.528712223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.209969407,0,0,0,-0.238360192,-0.219723427,0.387149081,-0.219550269,-0.172348146,0.450860408
EFG%,0.523622347,0.538807664,-0.193612908,0.577945962,-0.402365108,-0.109229641,0.585119761,0.314112623,0.436883219,0.408616235,0.490939059,0.672200864,0.461090015,0.422325198,0.432355483,0.186629424,-0.193150017,0.010566474,-0.128088188,0,0.555633396,-0.136979333,0.358800059,-0.523622347,0.715565073,0,0,0,0,-0.123495501,-0.185335218,0,-0.072689553,0.253402749,0.2973326,0.232290652,0.115410713,0.139221199,-0.026999085,0,-0.047308295,-0.03435628,-0.025423159,-0.040509236,-0.113698133,0.010608927,0.040285154,0.394244369
AST,0.486700618,0,0.086654325,0.602001259,-0.161364811,0.181809894,0.533007393,0.297720351,0.408294176,0.376721459,0,0,0,0,0,0,0,0.295525945,0.133073677,0,0.601623869,0.282535627,0.665713405,-0.486700618,0,0,0,0,0,-0.277933069,-0.332678046,0,0.053704955,0,0,0,0,0,-0.014326754,0,0,0,-0.022802695,-0.038552771,0.116430462,0.020858563,0.06152552,0.475324978
ufgp,0.464308307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.464308307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.219515628,0.362454801,0.412672267,0
DR_PACE,0.459002427,0,0.217448213,0.239951209,-0.076055165,0.068764905,0.322010455,0.173631502,0.236141441,0.290496357,0,0,0,0,0,0,0,0.853493835,0,0,0.271805848,0.198614384,0.342675727,-0.459002427,0,0,0,0,0,-0.143384961,-0.043510765,0,0,0,0,0,0,0,-0.03941274,0,0,0,-0.106491267,-0.069337174,0.343745135,-0.079264318,-0.057705927,0.091402218
