,Wins,+/-,2PM_PACE,2p%,2pa,2pm,3P%,3PA,3PM,3PM_PACE,AST,AST RAT,AST%,AST/TO,AST_PACE,BLK,DEFRTG,DREB,DR_PACE,EFG%,FG%,FGA,FGM,Losses,NETRTG,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS OFF TOV,OPP PTS PAINT,OREB,OR_PACE,PACE,REB,STL,STOCKS,STOCKS_PACE,TOV,TOV%,TO_RATIO,TS%,UA_PACE,UncontestedAssists,pts_off_tov,pts_paint,season,ufga,ufgm,ufgp
+/-,0.98,0,0.11729286,0.799016426,-0.406475355,0.055658296,0.723818105,0.487532811,0.63162419,0.66203194,0.633269541,0,0,0,0.644174123,0.261551948,0,0.526940079,0.557761965,0,0.741507251,0.166376354,0.715615306,-0.977662812,0,0,0,0,0,-0.255663512,-0.196583382,0,0.289062358,0.144809632,0.261741701,0.311636098,-0.301444664,0,0.774307642,0,0.705926157,0.689926263,0.422501329,0.632368697,,0.765336915,0.779406239,0.48553611
TO_RATIO,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.813281415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727607986,0,,0.832501316,0.841262876,0.481926765
2p%,0.81,0,0.111842,0,-0.495980325,0.083353879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886378648,-0.016008107,0.706671078,-0.811042792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66724747,0,0,0,0.536669538,0.631822951,,0.634008656,0.684660905,0.57172536
ufgm,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.792137575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.976996804,0,0
ufga,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.787583973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
FG%,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105534256,0.740568151,-0.745031233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631466327,0,0,0,0.384828563,0.54848914,,0.557247982,0.676115154,0.816275851
UA_PACE,0.73,0,0.044310172,0.624150553,-0.407333149,-0.063483653,0.603612507,0.381853244,0.5071735,0.546312227,0.426807945,0,0,0,0.473568261,0,0,0.336838874,0.428334306,0,0.578219006,-0.022435467,0.456586889,-0.726428188,0,0,0,0,0,-0.337881253,-0.255524653,0,0.088214604,0,0,0,0,0,0.634283235,0,0,0.971169595,0.403420359,0.429245046,,0.839007372,0.83953649,0.493974392
UncontestedAssists,0.72,0,-0.087608179,0.625815165,-0.453912454,-0.116729043,0.634688381,0.459399394,0.58521722,0.599710571,0.426810737,0,0,0,0.410119247,0,0,0.35281768,0.331493681,0,0.556815095,0.035059283,0.479409704,-0.721781883,0,0,0,0,0,-0.34368737,-0.321792709,0,0.098057543,0,0,0,0,0,0.646319395,0,0,0,0.429476974,0.470061797,,0.86494187,0.86041754,0.478242438
3P%,0.69,0,0.050859277,0.641029401,-0.303615451,0.067621797,0,0.284503555,0.52126741,0.527976974,0,0,0,0,0,0,0,0,0,0,0.761580337,-0.016935256,0.614247225,-0.694048178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668569337,0,0,0,0.454610324,0.539366823,,0.711641531,0.803761498,0.771588365
pts_paint,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.68329328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789378277,0,0,0,0.755613437,0,,0.607994365,0.602165961,0.326320484
FGM,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.674638383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622686614,0,0,0,0.29560464,0.544638404,,0.596171584,0.669287827,0.637013578
3PM_PACE,0.63,0,-0.512011717,0.61545355,-0.826396302,-0.54703085,0,0,0.994012203,0,0,0,0,0,0,0,0,0,0,0,0.300302757,0.278091803,0.433764534,-0.631954828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58687682,0,0,0,0.596050412,0.536500929,,0.708941553,0.645856299,0.113269578
AST,0.62,0,0.187336908,0.527338126,-0.142143986,0.179083188,0.72368016,0.302308485,0.465602202,0.480891799,0,0,0,0,0,0,0,0.272741744,0.280970846,0,0.589755825,0.291857937,0.678145808,-0.619551311,0,0,0,0,0,-0.351974135,-0.318887018,0,0.028037954,0,0,0,0,0,0.778835983,0,0,0,0.580896238,0.558080496,,0.783866214,0.82640538,0.582446826
AST_PACE,0.62,0,0.322497117,0.52562835,-0.101561365,0.225353559,0.673400959,0.219596809,0.377591362,0.420458658,0.963560098,0,0,0,0,0,0,0.252644948,0.386511949,0,0.605645912,0.214910513,0.637378433,-0.619330553,0,0,0,0,0,-0.343781729,-0.243610134,0,0.016150954,0,0,0,0,0,0.747467091,0,0,0,0.537520903,0.500885512,,0.746753802,0.791779826,0.585787748
3PM,0.61,0,-0.560733971,0.593852839,-0.824613596,-0.559320498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275874238,0.295882783,0.426563801,-0.608319432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575218495,0,0,0,0.598238187,0.542741528,,0.693729583,0.629702209,0.096418923
DR_PACE,0.48,0,0.420880948,0.203919392,0.135346999,0.294987936,0.233715151,0.02511469,0.084109296,0.138377119,0,0,0,0,0,0,0,0.883034452,0,0,0.27351299,0.276898191,0.409064339,-0.478248981,0,0,0,0,0,0.010209668,0.132231632,0,0,0,0,0,0,0,0.156194278,0,0,0,-0.142093181,0.047160448,,0.342784405,0.348584909,0.240613287
pts_off_tov,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.47514358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.617624606,0.597582673,0.247148492
