,+/-,2PM_PACE,2p%,2pa,2pm,3P%,3PA,3PM,3PM_PACE,AST,AST RAT,AST%,AST/TO,AST_PACE,BLK,DEFRTG,DREB,DR_PACE,EFG%,FG%,FGA,FGM,Losses,NETRTG,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS OFF TOV,OPP PTS PAINT,OREB,OR_PACE,PACE,REB,STL,STOCKS,STOCKS_PACE,TOV,TOV%,TO_RATIO,TS%,UA_PACE,UncontestedAssists,Wins,pts_off_tov,pts_paint,season,ufga,ufgm,ufgp
+/-,0.0,0.02171756536551667,0.6553941059597417,-0.32680371239013867,-0.03629334801712175,0.6458766149692288,0.26631544609651564,0.4418980944332309,0.472387985419577,0.4905285568641902,0.0,0.0,0.0,0.5506363882020088,0.3279463306234811,0.0,0.25086244457451917,0.38350417709773604,0.0,0.7029665243665708,-0.17792691860117282,0.4514470175627243,-0.9642663822322038,0.0,0.0,0.0,0.0,0.0,-0.0754996524920608,-0.04231310381510742,0.0,0.1187228757423323,0.24867505578128485,0.35094712218622465,0.40728552300261567,-0.24689521461233435,0.0,0.025650633095147073,0.0,0.009860443822792622,-0.025488348936743573,0.9642663822322038,-0.19789131817741173,-0.19882161686198999,,0.07306014307963629,0.3084355391359673,0.4806716215477381
2PM_PACE,0.0,0.0,0.0,0.0,0.9342381331239729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26543499411731586,0.24389203162444537,0.3866749914481963,0.009815762217837866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33378643106803907,0.0,0.0,0.0,-0.009815762217837866,0.1763642189532303,0.36116866979921847,,-0.14165028519319794,-0.08010914673717552,0.09396137412903316
2p%,0.0,-0.24337393312949243,0.0,-0.5424050761008434,-0.10899451720094762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7875785934157785,-0.0184894357820003,0.6347257181795611,-0.6263367311192523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23102172019524406,0.0,0.0,0.0,0.6263367311192523,-0.014313247331796128,0.006115482897952427,,-0.10643123760080701,0.18260978383522983,0.5409300510101673
2pa,0.0,0.8950471739998166,0.0,0.0,0.8932291867247072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12025854739237932,0.43741679655651794,0.210685142048687,0.3422353857088966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33068479214896446,0.0,0.0,0.0,-0.3422353857088966,0.24546926336150574,0.4326474344421193,,-0.09523148935206578,-0.13673057556555537,-0.0997435275611091
2pm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29027633343718257,0.4860090965609213,0.5826298140281261,0.06974126532682273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266261075729654,0.0,0.0,0.0,-0.06974126532682273,0.2804869472228298,0.5043895706295454,,-0.1737549890804361,-0.07159798649532606,0.16357979047707663
3P%,0.0,-0.03677134083931224,0.4793512675962778,-0.3483119751745265,-0.14145028449213645,0.0,0.13331311914107594,0.4148714057450628,0.4725840754973222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7407870732100974,-0.4671479689988207,0.27628680903351216,-0.6363940318002821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10836030429240419,0.0,0.0,0.0,0.6363940318002821,0.014035983209970978,-0.12492583916233982,,0.13958919996490315,0.35117556643955933,0.4362044816729793
3PA,0.0,-0.8614161913701747,0.592166263062877,-0.8729649931484028,-0.7280668193459874,0.0,0.0,0.9563265397562144,0.9250420693748754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04415435118760073,0.056793523091275264,0.08446229084494637,-0.27532098903609714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45033480666905706,0.0,0.0,0.0,0.27532098903609714,-0.2872842700846553,-0.3181042066309921,,0.053656535818136154,0.12818993304331464,0.15626172985004932
3PM,0.0,-0.7907588728579552,0.6915127365043513,-0.896216517906961,-0.6976848074729204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26675314032395525,-0.07131213131592744,0.17575723011297623,-0.4458107291961932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3858630354728702,0.0,0.0,0.0,0.4458107291961932,-0.2646300338592882,-0.3288433365328966,,0.08182963410786649,0.21805991374875577,0.28109068397988685
3PM_PACE,0.0,-0.7890216084494943,0.645239624721107,-0.9214800320975753,-0.7501639840898523,0.0,0.0,0.987901354700055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25830927842255974,-0.18069599787134982,0.08991849483592197,-0.47915303599216336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37168736147045905,0.0,0.0,0.0,0.47915303599216336,-0.3202109282920632,-0.40695807892512914,,0.09732701402639295,0.21719945442295152,0.2529962265053836
AST,0.0,-0.1163705046423848,0.647133005311064,-0.29044442188939107,0.004281267276768689,0.3448745916585317,0.3888170380813772,0.462178098623944,0.41383893069272537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22948750808020424,-0.014415763747548929,0.0,0.53269687180952,0.12233219507744779,0.5302088172317653,-0.46596498286661203,0.0,0.0,0.0,0.0,0.0,-0.16961203707778172,-0.2398155540873273,0.0,0.036813096098234896,0.0,0.0,0.0,0.0,0.0,-0.059142317533082064,0.0,0.0,0.0,0.46596498286661203,0.07775860347772928,0.002198474889493779,,0.015003035981651165,0.22592094710097396,0.4329842443084783
