team,season,Wins,Losses,ufga,ufgm,ufgp,pts_off_tov,TO_RATIO,pts_paint,FGM,FGA,FG%,2pm,2PM_PACE,2pa,2p%,3PM,3PM_PACE,3PA,3P%,OREB,OR_PACE,DREB,DR_PACE,REB,AST,AST_PACE,UncontestedAssists,UA_PACE,TOV,STL,BLK,STOCKS,STOCKS_PACE,+/-,DEFRTG,NETRTG,AST%,AST/TO,AST RAT,TOV%,EFG%,TS%,PACE,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT
76ers,2014,18,64,11856,4616,0.3893387314439946,6202,3.676348547717842,13532,2765,6777,40.8,2073,20.100843595462038,4617,0.44899285299999997,692,6.709977698051004,2160,32.0,978,9.483176573257055,2536,24.59032289343547,3514,1683,16.319208765635608,2.742721330956625,0.026594796188855088,1453,789,487,1276,12.372733443226995,-736,104.2,0.0,65.7,1.48,18.5,17.1,51.8,55.3,103.13,1687,1144,1200,3420
Bucks,2014,41,41,13048,5828,0.4466584917228694,6326,4.604075691411936,14388,3083,6722,45.9,2538,26.065523261784943,5222,0.48602068200000004,545,5.597206531785971,1500,36.3,876,8.996610865769744,2574,26.435246995994657,3450,1932,19.841840402588065,3.0165631469979295,0.030980416421874594,1373,789,403,1192,12.241963643832802,35,106.5,0.8,56.9,1.67,17.5,13.7,53.4,56.9,97.37,1374,1092,877,3262
Bulls,2014,50,32,14188,6068,0.4276853679165492,5732,4.556438791732909,15736,3001,6797,44.2,2356,23.887255398965834,4972,0.47385358,645,6.539592416100578,1825,35.3,959,9.72320794889993,2792,28.30781709419041,3751,1781,18.057386190814153,3.4070746771476697,0.03454399956552438,1145,514,476,990,10.037513940991586,246,107.1,-8.8,59.5,1.6,16.9,14.0,48.6,51.4,98.63,1258,1079,1065,3344
Cavaliers,2014,53,29,15680,6772,0.4318877551020408,6624,4.984198645598194,17432,3089,6739,45.8,2263,22.750578063737812,4486,0.504458315,826,8.304011259676285,2253,36.7,911,9.158540263395999,2612,26.259173620186992,3523,1814,18.236654267618377,3.733186328555678,0.037530776400479325,1171,603,340,943,9.48024530009048,367,107.9,3.5,59.1,1.6,18.0,14.9,55.8,59.7,99.47,1329,1017,970,3502
Celtics,2014,40,42,14060,5956,0.42361308677098153,5742,4.333584905660377,14784,3193,7211,44.3,2533,25.92099877200164,5190,0.48805395,660,6.753990994678674,2021,32.7,910,9.312320916905444,2685,27.476463364715514,3595,2009,20.558739255014327,2.9646590343454453,0.030338303667063502,1133,674,294,968,9.905853458862055,13,100.6,4.7,59.5,1.59,17.2,14.3,51.7,55.6,97.72,1325,1108,890,3658
Clippers,2014,56,26,16248,7528,0.4633185622845889,5926,4.865353037766831,15028,3228,6830,47.3,2401,24.21583459404942,4628,0.5187986170000001,827,8.340897629853757,2202,37.6,784,7.907211296016137,2711,27.34241048915784,3495,2031,20.484114977307108,3.706548498276711,0.037383242544394464,1012,640,409,1049,10.579929399899141,540,106.9,-1.9,53.9,1.36,15.6,15.1,50.9,54.8,99.15,1218,1048,1007,3184
Grizzlies,2014,55,27,13568,5896,0.4345518867924528,5658,4.8860103626943,15808,3097,6763,45.8,2674,27.953167468116245,5517,0.484683705,423,4.4219109345599,1246,33.9,856,8.948358770646038,2634,27.535019862011293,3490,1777,18.576207401212628,3.3179516038266743,0.0346848380078055,1094,700,347,1047,10.945013589797199,266,105.3,-4.0,58.9,1.42,16.7,15.3,50.3,54.5,95.66,1158,954,1101,3196
Hawks,2014,60,22,17052,7604,0.4459300961764016,6866,5.322480620155039,16540,3121,6699,46.6,2303,23.087719298245613,4547,0.506487794,818,8.200501253132833,2152,38.0,715,7.167919799498747,2611,26.17543859649123,3326,2111,21.162907268170425,3.6020843202273802,0.036111121004785765,1167,744,380,1124,11.268170426065163,445,108.4,-5.1,61.2,1.5,17.8,15.7,52.0,55.4,99.75,1290,1161,916,3232
Heat,2014,37,45,10792,4604,0.42661230541141587,5388,3.898697539797395,13220,2885,6330,45.6,2329,23.821213051038153,4671,0.498608435,556,5.686815996727012,1659,33.5,747,7.640380484811292,2461,25.171320445944566,3208,1626,16.630868364528997,2.8314883148831487,0.028960706912991192,1214,642,372,1014,10.371279533599264,-213,104.4,-1.9,56.6,1.33,16.6,16.2,52.8,55.9,97.77,1382,1088,936,3362
Hornets,2014,33,49,12052,4932,0.4092266843677398,4294,4.077872744539412,12268,2913,6932,42.0,2415,23.89669503265387,5366,0.45005590799999995,498,4.927765683752226,1566,31.8,820,8.113991688106076,2793,27.637047298634474,3613,1654,16.36651494161884,2.98186215235792,0.029505859413792995,976,499,448,947,9.37067088858104,-260,104.5,-1.6,53.6,1.49,15.3,13.3,48.9,53.2,101.06,1053,1031,905,3156
